"","GO.ID","Term","Annotated","Significant","Expected","classicFisher"
"33","GO:0043177","organic acid binding",229,15,5.03,"0.00017"
"34","GO:0003700","DNA-binding transcription factor activity",518,25,11.39,"0.00020"
"35","GO:0017147","Wnt-protein binding",75,8,1.65,"0.00023"
"36","GO:0050840","extracellular matrix binding",99,9,2.18,"0.00032"
"37","GO:0061134","peptidase regulator activity",121,10,2.66,"0.00033"
"38","GO:0005112","Notch binding",46,6,1.01,"0.00048"
"39","GO:0000981","DNA-binding transcription factor activity, RNA polymerase II-specific",465,22,10.22,"0.00062"
"40","GO:0004252","serine-type endopeptidase activity",67,7,1.47,"0.00065"
"41","GO:0030246","carbohydrate binding",319,17,7.01,"0.00070"
"42","GO:1904399","heparan sulfate binding",10,3,0.22,"0.00112"
"43","GO:0016836","hydro-lyase activity",54,6,1.19,"0.00114"
"44","GO:0005007","fibroblast growth factor receptor activity",23,4,0.51,"0.00146"
"45","GO:0090729","toxin activity",23,4,0.51,"0.00146"
"46","GO:0004064","arylesterase activity",11,3,0.24,"0.00152"
"47","GO:0005004","GPI-linked ephrin receptor activity",11,3,0.24,"0.00152"
"48","GO:0004857","enzyme inhibitor activity",228,13,5.01,"0.00162"
"49","GO:0001849","complement component C1q complex binding",12,3,0.26,"0.00200"
"50","GO:0043236","laminin binding",82,7,1.8,"0.00215"
"51","GO:0001664","G protein-coupled receptor binding",134,9,2.95,"0.00281"
"52","GO:0044877","protein-containing complex binding",1702,54,37.41,"0.00324"
"53","GO:0004222","metalloendopeptidase activity",89,7,1.96,"0.00342"
"54","GO:0001530","lipopolysaccharide binding",48,5,1.06,"0.00392"
"55","GO:0008236","serine-type peptidase activity",92,7,2.02,"0.00411"
"56","GO:0030023","extracellular matrix constituent conferring elasticity",49,5,1.08,"0.00429"
"57","GO:0017171","serine hydrolase activity",93,7,2.04,"0.00437"
"58","GO:0016835","carbon-oxygen lyase activity",74,6,1.63,"0.00568"
"59","GO:0001968","fibronectin binding",53,5,1.16,"0.00601"
"60","GO:0005003","ephrin receptor activity",18,3,0.4,"0.00671"
"61","GO:0005452","solute:inorganic anion antiporter activity",18,3,0.4,"0.00671"
"62","GO:0019955","cytokine binding",77,6,1.69,"0.00689"
"63","GO:0048029","monosaccharide binding",102,7,2.24,"0.00721"
"64","GO:0140678","molecular function inhibitor activity",279,13,6.13,"0.00887"
"65","GO:0098772","molecular function regulator activity",1319,42,28.99,"0.00898"
"66","GO:0004713","protein tyrosine kinase activity",283,13,6.22,"0.00992"
"67","GO:0043394","proteoglycan binding",60,5,1.32,"0.01011"
"68","GO:0098631","cell adhesion mediator activity",253,12,5.56,"0.01026"
"69","GO:0033218","amide binding",257,12,5.65,"0.01151"
"70","GO:0008046","axon guidance receptor activity",62,5,1.36,"0.01156"
"71","GO:0098640","integrin binding involved in cell-matrix adhesion",227,11,4.99,"0.01181"
"72","GO:0008083","growth factor activity",41,4,0.9,"0.01222"
"73","GO:0097493","structural molecule activity conferring elasticity",63,5,1.38,"0.01234"
"74","GO:0098634","cell-matrix adhesion mediator activity",229,11,5.03,"0.01254"
"75","GO:0005179","hormone activity",114,7,2.51,"0.01288"
"76","GO:0001846","opsonin binding",23,3,0.51,"0.01344"
"77","GO:0019842","vitamin binding",175,9,3.85,"0.01532"
"78","GO:0022853","active monoatomic ion transmembrane transporter activity",176,9,3.87,"0.01585"
"79","GO:0005245","voltage-gated calcium channel activity",25,3,0.55,"0.01691"
"80","GO:0000977","RNA polymerase II transcription regulatory region sequence-specific DNA binding",512,19,11.25,"0.01833"
"81","GO:0030169","low-density lipoprotein particle binding",10,2,0.22,"0.01928"
"82","GO:0097603","temperature-gated ion channel activity",10,2,0.22,"0.01928"
"83","GO:0000976","transcription cis-regulatory region binding",587,21,12.9,"0.01953"
"84","GO:0001067","transcription regulatory region nucleic acid binding",589,21,12.95,"0.02020"
"85","GO:0016176","superoxide-generating NADPH oxidase activator activity",11,2,0.24,"0.02323"
"86","GO:0031994","insulin-like growth factor I binding",11,2,0.24,"0.02323"
"87","GO:0015297","antiporter activity",129,7,2.84,"0.02378"
"88","GO:0140110","transcription regulator activity",784,26,17.23,"0.02380"
"89","GO:0008509","monoatomic anion transmembrane transporter activity",50,4,1.1,"0.02386"
"90","GO:0140677","molecular function activator activity",710,24,15.61,"0.02402"
"91","GO:0001227","DNA-binding transcription repressor activity, RNA polymerase II-specific",77,5,1.69,"0.02713"
"92","GO:0005005","transmembrane-ephrin receptor activity",12,2,0.26,"0.02748"
"93","GO:0050436","microfibril binding",12,2,0.26,"0.02748"
"94","GO:0001217","DNA-binding transcription repressor activity",79,5,1.74,"0.02988"
"95","GO:0043395","heparan sulfate proteoglycan binding",31,3,0.68,"0.03001"
"96","GO:0016209","antioxidant activity",80,5,1.76,"0.03132"
"97","GO:1990837","sequence-specific double-stranded DNA binding",618,21,13.58,"0.03192"
"98","GO:0005244","voltage-gated monoatomic ion channel activity",55,4,1.21,"0.03248"
"99","GO:0015311","monoamine:proton antiporter activity",32,3,0.7,"0.03259"
"100","GO:0015312","polyamine:proton antiporter activity",32,3,0.7,"0.03259"
"101","GO:0008237","metallopeptidase activity",138,7,3.03,"0.03272"
"102","GO:0046982","protein heterodimerization activity",169,8,3.71,"0.03326"
"103","GO:0071813","lipoprotein particle binding",14,2,0.31,"0.03681"
"104","GO:0071814","protein-lipid complex binding",14,2,0.31,"0.03681"
"105","GO:0022832","voltage-gated channel activity",59,4,1.3,"0.04053"
"106","GO:0043169","cation binding",4701,118,103.33,"0.04093"
"107","GO:0001848","complement binding",35,3,0.77,"0.04101"
"108","GO:0050699","WW domain binding",35,3,0.77,"0.04101"
"109","GO:0046872","metal ion binding",4658,117,102.38,"0.04122"
"110","GO:0070700","BMP receptor binding",15,2,0.33,"0.04187"
"111","GO:0002020","protease binding",89,5,1.96,"0.04625"
"112","GO:0005154","epidermal growth factor receptor binding",37,3,0.81,"0.04716"
"113","GO:0015203","polyamine transmembrane transporter activity",38,3,0.84,"0.05040"
"114","GO:0016595","glutamate binding",17,2,0.37,"0.05270"
"115","GO:0019865","immunoglobulin binding",17,2,0.37,"0.05270"
"116","GO:0008504","monoamine transmembrane transporter activity",39,3,0.86,"0.05374"
"117","GO:0022843","voltage-gated monoatomic cation channel activity",39,3,0.86,"0.05374"
"118","GO:0020037","heme binding",124,6,2.73,"0.05587"
"119","GO:0046920","alpha-(1->3)-fucosyltransferase activity",18,2,0.4,"0.05845"
"120","GO:0005080","protein kinase C binding",41,3,0.9,"0.06074"
"121","GO:0038187","pattern recognition receptor activity",41,3,0.9,"0.06074"
"122","GO:0048306","calcium-dependent protein binding",68,4,1.49,"0.06239"
"123","GO:0015108","chloride transmembrane transporter activity",42,3,0.92,"0.06439"
"124","GO:0050431","transforming growth factor beta binding",43,3,0.95,"0.06814"
"125","GO:0000987","cis-regulatory region sequence-specific DNA binding",484,16,10.64,"0.06864"
"126","GO:0043565","sequence-specific DNA binding",714,22,15.69,"0.06901"
"127","GO:0046906","tetrapyrrole binding",132,6,2.9,"0.07112"
"128","GO:0001618","virus receptor activity",44,3,0.97,"0.07199"
"129","GO:0140272","exogenous protein binding",44,3,0.97,"0.07199"
"130","GO:0015103","inorganic anion transmembrane transporter activity",72,4,1.58,"0.07376"
"131","GO:0005540","hyaluronic acid binding",21,2,0.46,"0.07688"
"132","GO:0008417","fucosyltransferase activity",21,2,0.46,"0.07688"
"133","GO:0016849","phosphorus-oxygen lyase activity",21,2,0.46,"0.07688"
"134","GO:0070696","transmembrane receptor protein serine/threonine kinase binding",21,2,0.46,"0.07688"
"135","GO:0015075","monoatomic ion transmembrane transporter activity",382,13,8.4,"0.07947"
"136","GO:0033612","receptor serine/threonine kinase binding",22,2,0.48,"0.08338"
"137","GO:0015318","inorganic molecular entity transmembrane transporter activity",386,13,8.48,"0.08454"
"138","GO:0017134","fibroblast growth factor binding",23,2,0.51,"0.09004"
"139","GO:0042806","fucose binding",23,2,0.51,"0.09004"
"140","GO:0015078","proton transmembrane transporter activity",141,6,3.1,"0.09088"
"141","GO:0003690","double-stranded DNA binding",700,21,15.39,"0.09190"
"142","GO:0030527","structural constituent of chromatin",24,2,0.53,"0.09685"
"143","GO:0140375","immune receptor activity",24,2,0.53,"0.09685"
"144","GO:0003925","G protein activity",50,3,1.1,"0.09700"
"145","GO:0070851","growth factor receptor binding",80,4,1.76,"0.09936"
"146","GO:0004623","phospholipase A2 activity",25,2,0.55,"0.10381"
"147","GO:0004867","serine-type endopeptidase inhibitor activity",25,2,0.55,"0.10381"
"148","GO:0070330","aromatase activity",25,2,0.55,"0.10381"
"149","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific",181,7,3.98,"0.10468"
"150","GO:0004175","endopeptidase activity",633,19,13.91,"0.10479"
"151","GO:0016829","lyase activity",218,8,4.79,"0.10843"
"152","GO:0001216","DNA-binding transcription activator activity",183,7,4.02,"0.10924"
"153","GO:0005520","insulin-like growth factor binding",26,2,0.57,"0.11089"
"154","GO:0045296","cadherin binding",150,6,3.3,"0.11331"
"155","GO:0004712","protein serine/threonine/tyrosine kinase activity",86,4,1.89,"0.12090"
"156","GO:0048495","Roundabout binding",28,2,0.62,"0.12541"
"157","GO:0000978","RNA polymerase II cis-regulatory region sequence-specific DNA binding",455,14,10,"0.12934"
"158","GO:0005507","copper ion binding",59,3,1.3,"0.13996"
"159","GO:0015278","calcium-release channel activity",30,2,0.66,"0.14036"
"160","GO:0140103","catalytic activity, acting on a glycoprotein",30,2,0.66,"0.14036"
"161","GO:0005217","intracellular ligand-gated monoatomic ion channel activity",31,2,0.68,"0.14797"
"162","GO:0042625","ATPase-coupled ion transmembrane transporter activity",32,2,0.7,"0.15566"
"163","GO:0044769","ATPase activity, coupled to transmembrane movement of ions, rotational mechanism",32,2,0.7,"0.15566"
"164","GO:0046961","proton-transporting ATPase activity, rotational mechanism",32,2,0.7,"0.15566"
"165","GO:0022890","inorganic cation transmembrane transporter activity",316,10,6.95,"0.15925"
"166","GO:0099604","ligand-gated calcium channel activity",33,2,0.73,"0.16343"
"167","GO:0015291","secondary active transmembrane transporter activity",205,7,4.51,"0.16604"
"168","GO:0008324","monoatomic cation transmembrane transporter activity",327,10,7.19,"0.18439"
"169","GO:0016712","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen",36,2,0.79,"0.18710"
"170","GO:0035035","histone acetyltransferase binding",36,2,0.79,"0.18710"
"171","GO:0003831","beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity",10,1,0.22,"0.19934"
"172","GO:0016725","oxidoreductase activity, acting on CH or CH2 groups",10,1,0.22,"0.19934"
"173","GO:0017166","vinculin binding",10,1,0.22,"0.19934"
"174","GO:0034987","immunoglobulin receptor binding",10,1,0.22,"0.19934"
"175","GO:0070905","serine binding",10,1,0.22,"0.19934"
"176","GO:1990825","sequence-specific mRNA binding",10,1,0.22,"0.19934"
"177","GO:0052689","carboxylic ester hydrolase activity",143,5,3.14,"0.20680"
"178","GO:0005488","binding",10976,247,241.25,"0.21139"
"179","GO:0010852","cyclase inhibitor activity",11,1,0.24,"0.21696"
"180","GO:0010855","adenylate cyclase inhibitor activity",11,1,0.24,"0.21696"
"181","GO:0015386","potassium:proton antiporter activity",11,1,0.24,"0.21696"
"182","GO:0016175","superoxide-generating NAD(P)H oxidase activity",11,1,0.24,"0.21696"
"183","GO:0003682","chromatin binding",631,17,13.87,"0.22635"
"184","GO:0001640","adenylate cyclase inhibiting G protein-coupled glutamate receptor activity",41,2,0.9,"0.22745"
"185","GO:0098988","G protein-coupled glutamate receptor activity",41,2,0.9,"0.22745"
"186","GO:0004497","monooxygenase activity",111,4,2.44,"0.22777"
"187","GO:0001642","group III metabotropic glutamate receptor activity",12,1,0.26,"0.23418"
"188","GO:0039706","co-receptor binding",12,1,0.26,"0.23418"
"189","GO:1902945","metalloendopeptidase activity involved in amyloid precursor protein catabolic process",12,1,0.26,"0.23418"
"190","GO:0022821","solute:potassium antiporter activity",13,1,0.29,"0.25103"
"191","GO:0043121","neurotrophin binding",13,1,0.29,"0.25103"
"192","GO:0140031","phosphorylation-dependent protein binding",13,1,0.29,"0.25103"
"193","GO:1904047","S-adenosyl-L-methionine binding",13,1,0.29,"0.25103"
"194","GO:0008170","N-methyltransferase activity",80,3,1.76,"0.25731"
"195","GO:0008378","galactosyltransferase activity",45,2,0.99,"0.26014"
"196","GO:0019829","ATPase-coupled monoatomic cation transmembrane transporter activity",45,2,0.99,"0.26014"
"197","GO:0005262","calcium channel activity",81,3,1.78,"0.26326"
"198","GO:0016174","NAD(P)H oxidase H2O2-forming activity",14,1,0.31,"0.26751"
"199","GO:0099094","ligand-gated monoatomic cation channel activity",46,2,1.01,"0.26833"
"200","GO:1901702","salt transmembrane transporter activity",280,8,6.15,"0.27487"
"201","GO:0140299","small molecule sensor activity",47,2,1.03,"0.27652"
"202","GO:0008233","peptidase activity",829,21,18.22,"0.28067"
"203","GO:0002162","dystroglycan binding",15,1,0.33,"0.28362"
"204","GO:0008308","voltage-gated monoatomic anion channel activity",15,1,0.33,"0.28362"
"205","GO:0010851","cyclase regulator activity",15,1,0.33,"0.28362"
"206","GO:0010854","adenylate cyclase regulator activity",15,1,0.33,"0.28362"
"207","GO:0140311","protein sequestering activity",48,2,1.06,"0.28471"
"208","GO:0022836","gated channel activity",124,4,2.73,"0.29053"
"209","GO:0022839","monoatomic ion gated channel activity",124,4,2.73,"0.29053"
"210","GO:0008066","glutamate receptor activity",49,2,1.08,"0.29288"
"211","GO:0001641","group II metabotropic glutamate receptor activity",16,1,0.35,"0.29939"
"212","GO:0005068","transmembrane receptor protein tyrosine kinase adaptor activity",16,1,0.35,"0.29939"
"213","GO:0015662","P-type ion transporter activity",16,1,0.35,"0.29939"
"214","GO:0140358","P-type transmembrane transporter activity",16,1,0.35,"0.29939"
"215","GO:0004866","endopeptidase inhibitor activity",51,2,1.12,"0.30919"
"216","GO:0000062","fatty-acyl-CoA binding",17,1,0.37,"0.31480"
"217","GO:1901567","fatty acid derivative binding",17,1,0.37,"0.31480"
"218","GO:0003756","protein disulfide isomerase activity",18,1,0.4,"0.32988"
"219","GO:0016864","intramolecular oxidoreductase activity, transposing S-S bonds",18,1,0.4,"0.32988"
"220","GO:0120227","acyl-CoA binding",18,1,0.4,"0.32988"
"221","GO:0140313","molecular sequestering activity",54,2,1.19,"0.33350"
"222","GO:0004601","peroxidase activity",55,2,1.21,"0.34155"
"223","GO:0030159","signaling receptor complex adaptor activity",55,2,1.21,"0.34155"
"224","GO:0016413","O-acetyltransferase activity",19,1,0.42,"0.34463"
"225","GO:0016857","racemase and epimerase activity, acting on carbohydrates and derivatives",19,1,0.42,"0.34463"
"226","GO:0050664","oxidoreductase activity, acting on NAD(P)H, oxygen as acceptor",19,1,0.42,"0.34463"
"227","GO:0015276","ligand-gated monoatomic ion channel activity",56,2,1.23,"0.34957"
"228","GO:0016684","oxidoreductase activity, acting on peroxide as acceptor",56,2,1.23,"0.34957"
"229","GO:0022834","ligand-gated channel activity",56,2,1.23,"0.34957"
"230","GO:0005200","structural constituent of cytoskeleton",96,3,2.11,"0.35349"
"231","GO:0004659","prenyltransferase activity",20,1,0.44,"0.35906"
"232","GO:0008649","rRNA methyltransferase activity",20,1,0.44,"0.35906"
"233","GO:0051139","metal cation:proton antiporter activity",20,1,0.44,"0.35906"
"234","GO:0015085","calcium ion transmembrane transporter activity",97,3,2.13,"0.35950"
"235","GO:0016758","hexosyltransferase activity",180,5,3.96,"0.36244"
"236","GO:0016597","amino acid binding",58,2,1.27,"0.36551"
"237","GO:0015370","solute:sodium symporter activity",21,1,0.46,"0.37317"
"238","GO:0098632","cell-cell adhesion mediator activity",21,1,0.46,"0.37317"
"239","GO:0140102","catalytic activity, acting on a rRNA",21,1,0.46,"0.37317"
"240","GO:0001221","transcription coregulator binding",59,2,1.3,"0.37342"
"241","GO:0030234","enzyme regulator activity",921,22,20.24,"0.37379"
"242","GO:0016702","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen",22,1,0.48,"0.38697"
"243","GO:0046332","SMAD binding",62,2,1.36,"0.39692"
"244","GO:0005506","iron ion binding",146,4,3.21,"0.40023"
"245","GO:0016701","oxidoreductase activity, acting on single donors with incorporation of molecular oxygen",23,1,0.51,"0.40046"
"246","GO:0042813","Wnt receptor activity",23,1,0.51,"0.40046"
"247","GO:0015081","sodium ion transmembrane transporter activity",63,2,1.38,"0.40466"
"248","GO:0046873","metal ion transmembrane transporter activity",190,5,4.18,"0.40612"
"249","GO:0022804","active transmembrane transporter activity",364,9,8,"0.40748"
"250","GO:0008376","acetylgalactosaminyltransferase activity",24,1,0.53,"0.41366"
"251","GO:0008168","methyltransferase activity",193,5,4.24,"0.41917"
"252","GO:0001786","phosphatidylserine binding",25,1,0.55,"0.42657"
"253","GO:0005024","transforming growth factor beta receptor activity",25,1,0.55,"0.42657"
"254","GO:0061135","endopeptidase regulator activity",67,2,1.47,"0.43513"
"255","GO:0140825","lactoperoxidase activity",26,1,0.57,"0.43920"
"256","GO:0004620","phospholipase activity",68,2,1.49,"0.44262"
"257","GO:0003993","acid phosphatase activity",27,1,0.59,"0.45155"
"258","GO:0008171","O-methyltransferase activity",27,1,0.59,"0.45155"
"259","GO:0015459","potassium channel regulator activity",27,1,0.59,"0.45155"
"260","GO:0046875","ephrin receptor binding",27,1,0.59,"0.45155"
"261","GO:0004672","protein kinase activity",872,20,19.17,"0.45513"
"262","GO:0003677","DNA binding",1686,38,37.06,"0.46031"
"263","GO:0001223","transcription coactivator binding",28,1,0.62,"0.46363"
"264","GO:0035374","chondroitin sulfate binding",28,1,0.62,"0.46363"
"265","GO:0016741","transferase activity, transferring one-carbon groups",204,5,4.48,"0.46653"
"266","GO:0019003","GDP binding",72,2,1.58,"0.47201"
"267","GO:0030331","nuclear estrogen receptor binding",29,1,0.64,"0.47544"
"268","GO:0035250","UDP-galactosyltransferase activity",29,1,0.64,"0.47544"
"269","GO:0005496","steroid binding",73,2,1.6,"0.47921"
"270","GO:0004675","transmembrane receptor protein serine/threonine kinase activity",30,1,0.66,"0.48700"
"271","GO:0005254","chloride channel activity",30,1,0.66,"0.48700"
"272","GO:0140828","metal cation:monoatomic cation antiporter activity",30,1,0.66,"0.48700"
"273","GO:0008194","UDP-glycosyltransferase activity",120,3,2.64,"0.49342"
"274","GO:0099106","ion channel regulator activity",75,2,1.65,"0.49343"
"275","GO:0005158","insulin receptor binding",31,1,0.68,"0.49830"
"276","GO:0003823","antigen binding",32,1,0.7,"0.50935"
"277","GO:0043560","insulin receptor substrate binding",32,1,0.7,"0.50935"
"278","GO:1990782","protein tyrosine kinase binding",123,3,2.7,"0.50993"
"279","GO:0016247","channel regulator activity",78,2,1.71,"0.51430"
"280","GO:0015079","potassium ion transmembrane transporter activity",33,1,0.73,"0.52016"
"281","GO:0043539","protein serine/threonine kinase activator activity",33,1,0.73,"0.52016"
"282","GO:0051059","NF-kappaB binding",34,1,0.75,"0.53074"
"283","GO:0042802","identical protein binding",1462,32,32.13,"0.53843"
"284","GO:0016854","racemase and epimerase activity",35,1,0.77,"0.54108"
"285","GO:0008757","S-adenosylmethionine-dependent methyltransferase activity",176,4,3.87,"0.54350"
"286","GO:0005515","protein binding",7163,157,157.44,"0.54478"
"287","GO:0005126","cytokine receptor binding",130,3,2.86,"0.54731"
"288","GO:0046983","protein dimerization activity",733,16,16.11,"0.54853"
"289","GO:0005253","monoatomic anion channel activity",36,1,0.79,"0.55119"
"290","GO:0032451","demethylase activity",38,1,0.84,"0.57075"
"291","GO:0035254","glutamate receptor binding",38,1,0.84,"0.57075"
"292","GO:0070492","oligosaccharide binding",38,1,0.84,"0.57075"
"293","GO:0016298","lipase activity",88,2,1.93,"0.57965"
"294","GO:0001784","phosphotyrosine residue binding",39,1,0.86,"0.58022"
"295","GO:0005246","calcium channel regulator activity",39,1,0.86,"0.58022"
"296","GO:0140662","ATP-dependent protein folding chaperone",39,1,0.86,"0.58022"
"297","GO:0005261","monoatomic cation channel activity",137,3,3.01,"0.58298"
"298","GO:0005216","monoatomic ion channel activity",185,4,4.07,"0.58305"
"299","GO:0030295","protein kinase activator activity",89,2,1.96,"0.58582"
"300","GO:0008146","sulfotransferase activity",40,1,0.88,"0.58947"
"301","GO:0008375","acetylglucosaminyltransferase activity",40,1,0.88,"0.58947"
"302","GO:0039660","structural constituent of virion",40,1,0.88,"0.58947"
"303","GO:0072341","modified amino acid binding",42,1,0.92,"0.60737"
"304","GO:0044325","transmembrane transporter binding",93,2,2.04,"0.60983"
"305","GO:0004860","protein kinase inhibitor activity",44,1,0.97,"0.62450"
"306","GO:0019209","kinase activator activity",97,2,2.13,"0.63276"
"307","GO:0004725","protein tyrosine phosphatase activity",98,2,2.15,"0.63833"
"308","GO:0019210","kinase inhibitor activity",46,1,1.01,"0.64087"
"309","GO:0030507","spectrin binding",47,1,1.03,"0.64880"
"310","GO:0097110","scaffold protein binding",48,1,1.06,"0.65654"
"311","GO:0008514","organic anion transmembrane transporter activity",153,3,3.36,"0.65754"
"312","GO:0019887","protein kinase regulator activity",153,3,3.36,"0.65754"
"313","GO:0016773","phosphotransferase activity, alcohol group as acceptor",974,20,21.41,"0.65815"
"314","GO:0035591","signaling adaptor activity",104,2,2.29,"0.67035"
"315","GO:0015485","cholesterol binding",50,1,1.1,"0.67153"
"316","GO:0044183","protein folding chaperone",50,1,1.1,"0.67153"
"317","GO:0003779","actin binding",406,8,8.92,"0.67317"
"318","GO:0016757","glycosyltransferase activity",258,5,5.67,"0.67363"
"319","GO:0005164","tumor necrosis factor receptor binding",51,1,1.12,"0.67877"
"320","GO:0015294","solute:monoatomic cation symporter activity",51,1,1.12,"0.67877"
"321","GO:0016860","intramolecular oxidoreductase activity",51,1,1.12,"0.67877"
"322","GO:0008374","O-acyltransferase activity",52,1,1.14,"0.68586"
"323","GO:0045309","protein phosphorylated amino acid binding",52,1,1.14,"0.68586"
"324","GO:0016705","oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen",213,4,4.68,"0.69251"
"325","GO:0008013","beta-catenin binding",53,1,1.16,"0.69279"
"326","GO:0030276","clathrin binding",53,1,1.16,"0.69279"
"327","GO:0015267","channel activity",215,4,4.73,"0.69949"
"328","GO:0022803","passive transmembrane transporter activity",215,4,4.73,"0.69949"
"329","GO:0032813","tumor necrosis factor receptor superfamily binding",56,1,1.23,"0.71269"
"330","GO:0043167","ion binding",6613,141,145.35,"0.71634"
"331","GO:0017124","SH3 domain binding",114,2,2.51,"0.71859"
"332","GO:0032934","sterol binding",59,1,1.3,"0.73130"
"333","GO:0016301","kinase activity",1021,20,22.44,"0.73754"
"334","GO:0008173","RNA methyltransferase activity",61,1,1.34,"0.74303"
"335","GO:0031490","chromatin DNA binding",61,1,1.34,"0.74303"
"336","GO:0140104","molecular carrier activity",61,1,1.34,"0.74303"
"337","GO:0016782","transferase activity, transferring sulphur-containing groups",62,1,1.36,"0.74870"
"338","GO:0019208","phosphatase regulator activity",62,1,1.36,"0.74870"
"339","GO:0042626","ATPase-coupled transmembrane transporter activity",123,2,2.7,"0.75681"
"340","GO:0019207","kinase regulator activity",179,3,3.93,"0.75733"
"341","GO:0016651","oxidoreductase activity, acting on NAD(P)H",64,1,1.41,"0.75968"
"342","GO:0005096","GTPase activator activity",235,4,5.17,"0.76306"
"343","GO:0016765","transferase activity, transferring alkyl or aryl (other than methyl) groups",65,1,1.43,"0.76499"
"344","GO:0030165","PDZ domain binding",66,1,1.45,"0.77018"
"345","GO:0042803","protein homodimerization activity",452,8,9.93,"0.78146"
"346","GO:0008134","transcription factor binding",351,6,7.71,"0.78794"
"347","GO:0051117","ATPase binding",70,1,1.54,"0.78982"
"348","GO:0004521","RNA endonuclease activity",247,4,5.43,"0.79590"
"349","GO:0015293","symporter activity",72,1,1.58,"0.79901"
"350","GO:0022857","transmembrane transporter activity",720,13,15.83,"0.80528"
"351","GO:0061629","RNA polymerase II-specific DNA-binding transcription factor binding",196,3,4.31,"0.80895"
"352","GO:0019903","protein phosphatase binding",139,2,3.06,"0.81375"
"353","GO:0051219","phosphoprotein binding",76,1,1.67,"0.81620"
"354","GO:0043178","alcohol binding",80,1,1.76,"0.83192"
"355","GO:0003713","transcription coactivator activity",205,3,4.51,"0.83233"
"356","GO:0031625","ubiquitin protein ligase binding",264,4,5.8,"0.83607"
"357","GO:0004715","non-membrane spanning protein tyrosine kinase activity",82,1,1.8,"0.83927"
"358","GO:0016922","nuclear receptor binding",82,1,1.8,"0.83927"
"359","GO:0008234","cysteine-type peptidase activity",151,2,3.32,"0.84833"
"360","GO:0015399","primary active transmembrane transporter activity",154,2,3.38,"0.85602"
"361","GO:0051015","actin filament binding",217,3,4.77,"0.85967"
"362","GO:0044389","ubiquitin-like protein ligase binding",276,4,6.07,"0.86028"
"363","GO:0030971","receptor tyrosine kinase binding",89,1,1.96,"0.86257"
"364","GO:0004527","exonuclease activity",90,1,1.98,"0.86561"
"365","GO:0008047","enzyme activator activity",447,7,9.82,"0.86562"
"366","GO:0140297","DNA-binding transcription factor binding",282,4,6.2,"0.87120"
"367","GO:0004540","RNA nuclease activity",284,4,6.24,"0.87467"
